cleaned_text,predicted_sentiment
aston welcome twitter let know question would love help,positive
beautiful dream im snuggle beautiful baby done outdoors,positive
helping making twitter account,neutral
hey lady coming canada fall id love see concert time itll st time,positive
official liberty grand new fave reception venue blog shot tuesday,positive
two page assignment weekend go chance relaxation,neutral
went dmv todaysome thing never change,neutral
missing bkk na,negative
hey saw snl nitei loved especially crumpin scene crumpin dub wow hilarious,positive
im packing angry eye incase,negative
enjoyed steak quesadilla kinda mad cause im gonna miss laker game,negative
good morning youre early feeling enthused design life thanks manics phrase,positive
everyone constantly retweeted would make,neutral
drum made people set give back,neutral
remind get take pic blooming clematis wind storm tomorrow,neutral
sore weight lifting however good kind sore give man move power mind alone,positive
sad saying im fat tear,negative
workin la bootay wheres warm weather,positive
came back seeing boat rocked amazingly cool movie definitely getting dvd,positive
tired work hate closing eek smile today aloha kitchen yum,negative
there many thing better sleeping window open,positive
okay im back later,positive
ever met guy thatv everything want need never really went w gnite daddy,negative
great wedding band awesome played ton great song food,positive
bad luck oh well next time lucky,negative
happy birthday,positive
hommmmmme good day,positive
great weekend stuttgart befahconference wonderful people nice discussion lot fun together strong,positive
ill see yeah guarantee dont want wait long seeing fruit basket hahaha,negative
super excited,positive
shopping,neutral
wish could meet u think happen someday,neutral
io psy im taking psy starting monday looking forward going back school,neutral
finally going home long night ready crash awesome dream,positive
thnx babe call u finish,neutral
hm seems blog marked phishing site,positive
kudai pop rock band chile last one taking stage tonight,neutral
cannot sleep hour tossing turning,neutral
ive got nothing witty tweet,positive
brittany moved,neutral
work,neutral
one bad daysmigraine today st since neck surgery month,negative
wellity think ima gonna clean room need read good book sense sensibility come beat lily,positive
didnt get text,neutral
downloaded music video ipod,neutral
push amazing,positive
absolutely nothin,positive
bacoor wahaha may wifi toinks new hair wiih short short httpplurkcompsveoi,positive
im getting reaction stroking cat welt hand caught claw,neutral
wow constantly ranting love genghis grill never colorado,positive
hope weekend fabulous anything interesting,positive
ive woken,neutral
im feeling like ish wanna go home go mimis,neutral
fry arizona thats thing ate today feeeeeed meeeeee,neutral
raining pouringwhere spooning buddy,neutral
twee haha thanks thats new word week,positive
nomatter much sleep still tired,negative
listening jello biafra work,neutral
got messgae didnt work cause text saver like money credit im sad wat xoxo,negative
dont worry happy ryan,positive
lakers baby lakers ill miss game tmwr work youll keep posted please,negative
tatteddddd,neutral
sorry mean,negative
thats,neutral
oh today suck,neutral
exception short dude larenz fineass tate yum,neutral
yay mom bought sakura bodyshop lotion,neutral
wanna longboard raining ughhhhhh,neutral
willie pouting grandma didnt put treat food httpappsfacebookcomdogbookprofileview,neutral
yeah mine said thats nice picture gave red x hope get working soon,positive
symphonic,neutral
company policy last two place ive worked,neutral
beez im heterochallenged still didnt care milk thought boring,negative
drink pm leaving shop medium light coffee frappuccino nom nom nom,positive
nice day im gonna stuck inside night,positive
writing english original writing storyyyyy listening little respect erasure aaaaaah,positive
may email tech support ppl thats odd,negative
miss jay leno,neutral
absolutely nothing eat house epic fail,negative
arrived singapore,neutral
email miley want write cant,neutral
feeling nice got big smile face reason take sleep right lol,positive
lovely lunch curried rice mussel baby octopus yum,positive
pshh dont,neutral
wonderful get meet though,positive
oh coming back gig scotland ticket see u last year hosp wit gallstone,neutral
there point bein one else,neutral
hug back also look,neutral
finally gave twitter try find sooo popular hope wont hooked,positive
watching city brother soccer game totally defited purpose coming hehe,negative
well sound like sum kid match lit sum grass fire,positive
going look bunch open home today get feel market think ive got lot saving,neutral
iphone soon theyre adding autofill logins wont type everytime,neutral
like taking dog car run errand always excited go anywhere like morning krogers,positive
depends drinking drinking many mate joke fails,neutral
finishing studying lsats watching vh soul,neutral
sorry hear laptop trouble hope get fixed lappy back norm,negative
watching nemecek go computer fun lol keed norm fun,positive
mom calling hospice great gpa matter time god know,positive
lol thanks penny im trying believe,positive
going crazy super head ach hell law ben since morning ahhhh,negative
lmao ummm duh gurl need buy vnecks like em,positive
dont think would happy,positive
keep getting pet day heard weekend fab wedding soon,neutral
geoff posted boo coming home tenerife boo httpboofmb,neutral
youre superstar doesnt mean,negative
mr tweet think,neutral
came back karaoke eating dinner emily sooooo much fun,positive
miss neice cant wait see bad n grown lol,positive
disappointed learn newark oh cancelled july firework due economy,negative
mother day today,neutral
bahaha loook like kung fu panda wake morning,neutral
people dont get fender bender way school doesnt happen hahahahah,neutral
wats gooood miss yall already,neutral
geography revision earthquake boring,negative
whenever mama let,neutral
happy mommy day,positive
bro martin need repent pam said going get meet last wknd,neutral
ok finished mikado shut lol,positive
aw poor u dont let get u ignore n keep ur head held high iz immature lil girl lol,positive
woke aspirating stomach acid im praying dont acid reflux one time thing,neutral
would join shopping work weekend six degree seperation confsuing,neutral
