textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
670b6eef13,happy mother`s day to your moms,happy mother`s day to your moms,positive,night,31-45,Zimbabwe,14862924,386850.0,38
aee80f7dd0,#BGT  ooooh tooo weird for me,weird,negative,noon,60-70,Nepal,29136808,143350.0,203
2cf37fe920,Missing how it used to be,Missing,negative,morning,0-20,Philippines,109581078,298170.0,368
72c09ef13a,its raining!! gng for rain dance,its raining!! gng for rain dance,neutral,morning,0-20,Afghanistan,38928346,652860.0,60
47a29253a9,...normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.,normal hours to give any interested twitter friends a glimpse into a topic near and dear to us.,neutral,morning,46-60,Vanuatu,307145,12200.0,25
2785cfe292,I have had the William Shatner version of Rocket Man in my head for 3 days now. It`s **** distracting,**** distracting,negative,night,31-45,India,1380004385,2973190.0,464
6c2933ee06,"  no i havent got mine yet, did u get yours?","no i havent got mine yet, did u get yours?",neutral,noon,21-30,Samoa,198414,2830.0,70
a0490aadee,I cut my thumb on a broken coffee pot.,I cut my thumb on a broken coffee pot.,negative,noon,60-70,Chad,16425864,1259200.0,13
2a6dab7a6b,So wish the Carlton game was on live  stupid channel 7 lol.,stupid channel,negative,night,31-45,Marshall Islands,59190,180.0,329
30e1f519e3, nope im nott! i was planning on doing but my aunties come over from america and we`re havin this big family meal so i cant  ****,so i cant,negative,noon,60-70,Kyrgyzstan,6524195,191800.0,34
04bbce0abc,I came home thinking that maybe there was something good to eat. Apparently not.,Apparently not.,negative,noon,21-30,Bulgaria,6948445,108560.0,64
602b7b5ae0, I think he meant this pic - I don`t know what other one he might have seen! But really - this is as hot as it gets,I think he meant this pic - I don`t know what other one he might have seen! But really - this is as hot as it gets,neutral,noon,21-30,Samoa,198414,2830.0,70
cbe08d0479," I`ve never seen any of the X Men films but they are supposed to be good so I thought, why not?",supposed to be good,positive,noon,21-30,Kyrgyzstan,6524195,191800.0,34
95c725edb6,"Just got back in, and I`m absolutely exhausted, have to be up in 5 hours for work","I`m absolutely exhausted,",negative,morning,0-20,Micronesia,115023,700.0,164
faa24ec0ee, Something like that,Something like that,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40
52ca74468a,   We`re idiots.  Ok mostly I was skint but hell I could`ve done something......,re idiot,negative,night,31-45,Equatorial Guinea,1402985,28050.0,50
a26a810a8d,Can`t believe those idiots buzzed out the juggler.,Can`t believe those idiots buzzed out the juggler.,negative,night,31-45,Comoros,869601,1861.0,467
e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,is missing someone..,negative,morning,0-20,Liberia,5057681,96320.0,53
0e1c368f3f,Happy Mother`s Day to all the mothers!!,Happy,positive,night,70-100,Marshall Islands,59190,180.0,329
6d9eb208b0, go and see my puppy! I don`t want to be there alone,don`t,negative,night,70-100,Niger,24206644,1266700.0,19
c3d49f5186, Lol at the VATS on The Insiders,Lol,positive,morning,0-20,Sri Lanka,21413249,62710.0,341
082b083743," Uhhh.. not yet, maybe my DM inbox is just slow. I`ll let you know when it shows",slow.,negative,night,70-100,Netherlands,17134872,33720.0,508
92e1b6846e, We saw that in none 3D - the baddie`s the best,best,positive,morning,46-60,Lithuania,2722289,62700.0,43
3570ecbc75," hi there, nice to meet you.  I am new to twitter and I guess you are too?",nice,positive,night,70-100,Lesotho,2142249,30360.0,71
d091dd19f7," ill call you on my home phone to your home phone    after dinner tho! coz im almost ready to eat, is that ok? ****","ill call you on my home phone to your home phone    after dinner tho! coz im almost ready to eat, is that ok?",neutral,night,70-100,Marshall Islands,59190,180.0,329
4925c5de06, I love you Thomas.I will always respect and support your decision.and I`ll miss you  but you`re gonna do amazing things <3 you,I love you Thomas.,positive,noon,60-70,Libya,6871292,1759540.0,4
cf961d917e,Its so hard letting her go and seeing her cry.,hard,negative,night,70-100,Bolivia,11673021,1083300.0,11
55b2c4a035,_e im going to my dance class now,im going to my dance class now,neutral,night,31-45,Kiribati,119449,810.0,147
5b1148f85d,Scared  waiting for the call,Scared,negative,noon,21-30,United Arab Emirates,9890402,83600.0,118
378bf58fa3,I just had a lovely lunch of curried rice and mussels with baby octopus - yum,lovely lunch,positive,morning,46-60,Haiti,11402528,27560.0,414
a4ca62632d,Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb,Awesome,positive,morning,46-60,Mali,20250833,1220190.0,17
6f34b79a49, that wasn`t nice,wasn`t nice,negative,noon,60-70,Iran,83992949,1630000.0,52
5e6d3726ca,Ok just woke up and need to get ready before a day of getting twitterena 2.1 submitted!,Ok just woke up and need to get ready before a day of getting twitterena 2.1 submitted!,neutral,night,31-45,Uzbekistan,33469203,425400.0,79
d47c978fad,The heat is here!!!,The heat is here!!!,neutral,noon,21-30,Mauritius,1271768,2030.0,626
cdae462b27, You too sweetie,You too sweetie,positive,noon,60-70,Kenya,53771296,569140.0,94
6d24b61035,is downloading new fonts . again  http://plurk.com/p/rplkr,is downloading new fonts .,neutral,morning,46-60,Liberia,5057681,96320.0,53
11b830c864,My teratoma has a cavity and is experiencing male-pattern baldness,My teratoma has a cavity and is experiencing male-pattern baldness,negative,night,31-45,Australia,25499884,7682300.0,3
a9c15ea0b2," Ooh, jealous. I just have yoghurt and some carrots.",jealous.,negative,morning,0-20,Latvia,1886198,62200.0,30
dc336f3c80," ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer","ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer",neutral,night,70-100,Sierra Leone,7976983,72180.0,111
67beae3c7f," _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",s spoilt,negative,noon,60-70,Denmark,5792202,42430.0,137
02d37daec5,  haha aww hun i bet you are more creative than me,e creative,positive,noon,60-70,Romania,19237691,230170.0,84
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530.0,107
ad82469ae5, http://tinyurl.com/c33ffv thats what im making for dinner very yummy,yummy,positive,noon,60-70,Denmark,5792202,42430.0,137
3f50c9e392,Going to bed. Talk to ya later!  goodnight birdies LOL,goodnight birdies LOL,positive,night,70-100,Honduras,9904607,111890.0,89
8d4ad58b45,eating breakfast  getting ready to go to school ;(,eating breakfast  getting ready to go to school ;(,negative,night,70-100,Morocco,36910560,446300.0,83
857866a830,Dakota just had a her first bath since being spayed... She was in Heaven!,Heaven!,positive,night,70-100,Niger,24206644,1266700.0,19
305a3f696e,  u don`t know harajuku lovers?,u don`t know harajuku lovers?,neutral,morning,0-20,Nigeria,206139589,910770.0,226
f9790dc1f0,Twas a good show. I even liked Ciara`s last song.   Time for me to go to bed. G`night!,good,positive,noon,60-70,Holy See,801,0.0,2003
e5df226cd4,_dazzles Well tonight would be a good time to watch.,good time,positive,night,31-45,Brazil,212559417,8358140.0,25
17d0e8bc79,Happy Mother`s day to MOMMY,Happy,positive,noon,21-30,Kyrgyzstan,6524195,191800.0,34
4105fed8e2, I CAN`T!!! My heart aches for her children  I wanna adopt alexis,My heart aches for her children,negative,night,31-45,Turkey,84339067,770000.0,110
70fc5450b8,"Just to drive  crazy, I miss the big blue selected tweet highlight. I can`t tell which tweet is selected anymore",I miss the big blue selected tweet highlight.,negative,noon,60-70,Nicaragua,6624554,120340.0,55
7009d3d220,"No more drinking for Harm   Doc is convinced that it`s the cause of my PCVs (look it up).Told not to stop smoking just yet, that will come","No more drinking for Harm   Doc is convinced that it`s the cause of my PCVs (look it up).Told not to stop smoking just yet, that will come",neutral,night,31-45,Comoros,869601,1861.0,467
d6d4a2a7f3, LOL  I know what ya mean. Watching everyone else act a fool is much better the  not remembering acting a fool yourself,. Watching everyone else act a fool is much better the  not remembering acting a fool yoursel,positive,noon,21-30,Iran,83992949,1630000.0,52
376271b337,Now I feel sick.,Now I feel sick.,negative,morning,0-20,Central African Republic,4829767,622980.0,8
d772d3838a,On my flight headed 2 denver...see yall in a min,On my flight headed 2 denver...see yall in a min,neutral,noon,60-70,Belgium,11589623,30280.0,383
169d903dbe, Hope your son is okay!,Hope your son is okay!,positive,noon,60-70,Fiji,896445,18270.0,49
c0ea6aed71,Stuck in awful traffic in the way to the wedding. Ceremony is supposed to start now. Ughhh.,Stuck in awful traffic in the way to the wedding.,negative,morning,0-20,Qatar,2881053,11610.0,248
8e2805b232," I`m feeling much less alone now in my love for Fitzcarraldo, most people I mention it to have no idea what I am talking about.",alone,negative,night,31-45,Barbados,287375,430.0,668
ac19e04a4b,just got my BMTH concert tickets  ? youknowimsofreshtilldeath?,just got my BMTH concert tickets  ? youknowimsofreshtilldeath?,neutral,noon,60-70,Nicaragua,6624554,120340.0,55
935aaf7091,Preston stayed home and I don`t know why,Preston stayed home and I don`t know why,neutral,morning,46-60,Sri Lanka,21413249,62710.0,341
