cleaned_text,predicted_sentiment
happy mother day mom,positive
bgt ooooh tooo weird,negative
missing used,negative
raining gng rain dance,neutral
normal hour give interested twitter friend glimpse topic near dear u,positive
william shatner version rocket man head day distracting,neutral
havent got mine yet u get,neutral
cut thumb broken coffee pot,negative
wish carlton game live stupid channel lol,negative
nope im nott planning aunty come america havin big family meal cant,neutral
came home thinking maybe something good eat apparently,positive
think meant pic dont know one might seen really hot get,positive
ive never seen x men film supposed good thought,positive
got back im absolutely exhausted hour work,negative
something like,neutral
idiot ok mostly skint hell couldve done something,positive
cant believe idiot buzzed juggler,negative
missing someone haayy httpplurkcompxavn,negative
happy mother day mother,positive
go see puppy dont want alone,neutral
lol vat insider,positive
uhhh yet maybe dm inbox slow ill let know show,negative
saw none baddie best,positive
hi nice meet new twitter guess,positive
ill call home phone home phone dinner tho coz im almost ready eat ok,positive
love thomasi always respect support decisionand ill miss youre gonna amazing thing,positive
hard letting go seeing cry,negative
e im going dance class,neutral
scared waiting call,neutral
lovely lunch curried rice mussel baby octopus yum,positive
awesome night ahead bad v rat city favorite skater one track fb,positive
wasnt nice,positive
ok woke need get ready day getting twitterena submitted,positive
heat,neutral
sweetie,neutral
downloading new font httpplurkcomprplkr,positive
teratoma cavity experiencing malepattern baldness,neutral
ooh jealous yoghurt carrot,neutral
ohh ic ic haha iyaa summer filled one course last whole summer,positive
kat ive begged mum lt get attic wont let waaa yes spoilt hehe,neutral
haha aww hun bet creative,positive
ok im popped say hi check thing ill probably head guttah later tonight,neutral
httptinyurlcomcffv thats im making dinner yummy,neutral
going bed talk ya later goodnight birdie lol,positive
eating breakfast getting ready go school,positive
dakota first bath since spayed heaven,positive
u dont know harajuku lover,neutral
twas good show even liked ciaras last song time go bed gnight,positive
dazzle well tonight would good time watch,positive
happy mother day mommy,positive
cant heart ache child wanna adopt alexis,neutral
drive crazy miss big blue selected tweet highlight cant tell tweet selected anymore,negative
drinking harm doc convinced cause pcvs look uptold stop smoking yet come,neutral
lol know ya mean watching everyone else act fool much better remembering acting fool,positive
feel sick,negative
flight headed denversee yall min,neutral
hope son okay,positive
stuck awful traffic way wedding ceremony supposed start ughhh,negative
im feeling much less alone love fitzcarraldo people mention idea talking,positive
got bmth concert ticket youknowimsofreshtilldeath,neutral
preston stayed home dont know,neutral
sad day love year ago,neutral
havent talked since last day school thats right,positive
time clean,positive
love haaaaair,positive
miss jay leno,neutral
wanted say ur musicboth scene aesthetic n danger radio hopefully get see u guy day,neutral
think sunstroke,neutral
lol thanks,positive
desktop quadcore win boot time laptop dualcore w ssd win boot time ssd desktop arrives day,positive
